Library,"Borrower category","Total items checked out/renewed","Adult items checked out/renewed","Young-adult items checked out/renewed","Juvenile items checked out/renewed","Other items checked out/renewed"
"Lyndon Carnegie Library","Adult - library board of trustees",,,,,
"Lyndon Carnegie Library","Adult - other",63,63,,,
"Lyndon Carnegie Library","Adult - self registered during the pandemic",,,,,
"Lyndon Carnegie Library","Adult - temporary",,,,,
"Lyndon Carnegie Library","Highland Community College - community member",,,,,
"Lyndon Carnegie Library","Highland Community College - faculty",,,,,
"Lyndon Carnegie Library","Highland Community College - faculty outreach",,,,,
"Lyndon Carnegie Library","Highland Community College - staff",,,,,
"Lyndon Carnegie Library","Highland Community College - student",,,,,
"Lyndon Carnegie Library","Highland Community College - student outreach",,,,,
"Lyndon Carnegie Library","Louisburg - Hoopla access",,,,,
"Lyndon Carnegie Library","Minor - (age 00-11)",,,,,
"Lyndon Carnegie Library","Minor - (age 00-17)",39,21,13,5,
"Lyndon Carnegie Library","Minor - (age 12)",,,,,
"Lyndon Carnegie Library","Minor - (age 13-17)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 00-11)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 00-17)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 12)",,,,,
"Lyndon Carnegie Library","Minor - digital only (ages 13-17)",,,,,
"Lyndon Carnegie Library","Minor - Osawatomie student (age 00-17)",,,,,
"Lyndon Carnegie Library","Minor - other (age 00-17)",,,,,
"Lyndon Carnegie Library","Minor - temporary",,,,,
"Lyndon Carnegie Library","Organization - book club",,,,,
"Lyndon Carnegie Library","Organization - interlibrary loan (exempt-ILL)",11,7,4,,
"Lyndon Carnegie Library","Staff - in house use (exempt)",,,,,
"Lyndon Carnegie Library","Staff - library associate (exempt)",7,7,,,
"Lyndon Carnegie Library","Staff - Permissions template",,,,,
"Lyndon Carnegie Library","Staff - SIP user",,,,,
"Lyndon Carnegie Library","Staff - statistical purposes",,,,,
"Lyndon Carnegie Library","Staff - system login (exempt)",,,,,
"Lyndon Carnegie Library","Student (exempt)",,,,,
"Lyndon Carnegie Library","Student (public library)",,,,,
"Lyndon Carnegie Library","Teacher/Faculty/Administrator (exempt)",1,1,,,
"Lyndon Carnegie Library","Teacher/Faculty/Administrator (public library)",,,,,
"McLouth Public Library",Adult,74,42,5,27,
"McLouth Public Library","Adult - college student",,,,,
"McLouth Public Library","Adult - digital only",,,,,
"McLouth Public Library","Adult - homebound",,,,,
"McLouth Public Library","Adult - library associate",,,,,
"McLouth Public Library","Adult - library board of trustees",,,,,
"McLouth Public Library","Adult - other",7,7,,,
"McLouth Public Library","Adult - self registered during the pandemic",,,,,
"McLouth Public Library","Adult - temporary",,,,,
"McLouth Public Library","Highland Community College - community member",,,,,
"McLouth Public Library","Highland Community College - faculty",,,,,
"McLouth Public Library","Highland Community College - faculty outreach",,,,,
"McLouth Public Library","Highland Community College - staff",,,,,
"McLouth Public Library","Highland Community College - student",,,,,
"McLouth Public Library","Highland Community College - student outreach",,,,,
"McLouth Public Library","Louisburg - Hoopla access",,,,,
"McLouth Public Library","Minor - (age 00-11)",,,,,
"McLouth Public Library","Minor - (age 00-17)",13,2,1,10,
"McLouth Public Library","Minor - (age 12)",,,,,
"McLouth Public Library","Minor - (age 13-17)",,,,,
"McLouth Public Library","Minor - digital only (age 00-11)",,,,,
"McLouth Public Library","Minor - digital only (age 00-17)",,,,,
"McLouth Public Library","Minor - digital only (age 12)",,,,,
"McLouth Public Library","Minor - digital only (ages 13-17)",,,,,
"McLouth Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"McLouth Public Library","Minor - other (age 00-17)",,,,,
"McLouth Public Library","Minor - temporary",,,,,
"McLouth Public Library","Organization - book club",,,,,
"McLouth Public Library","Organization - interlibrary loan (exempt-ILL)",2,,1,1,
"McLouth Public Library","Staff - in house use (exempt)",,,,,
"McLouth Public Library","Staff - library associate (exempt)",15,15,,,
"McLouth Public Library","Staff - Permissions template",,,,,
"McLouth Public Library","Staff - SIP user",,,,,
"McLouth Public Library","Staff - statistical purposes",,,,,
"McLouth Public Library","Staff - system login (exempt)",,,,,
"McLouth Public Library","Student (exempt)",,,,,
"McLouth Public Library","Student (public library)",,,,,
"McLouth Public Library","Teacher/Faculty/Administrator (exempt)",67,24,7,36,
"McLouth Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Meriden-Ozawkie Public Library",Adult,1190,543,57,589,1
"Meriden-Ozawkie Public Library","Adult - college student",,,,,
"Meriden-Ozawkie Public Library","Adult - digital only",,,,,
"Meriden-Ozawkie Public Library","Adult - homebound",,,,,
"Meriden-Ozawkie Public Library","Adult - library associate",,,,,
"Meriden-Ozawkie Public Library","Adult - library board of trustees",,,,,
"Meriden-Ozawkie Public Library","Adult - other",96,62,5,29,
"Meriden-Ozawkie Public Library","Adult - self registered during the pandemic",,,,,
"Meriden-Ozawkie Public Library","Adult - temporary",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - community member",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - faculty",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - faculty outreach",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - staff",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - student",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - student outreach",,,,,
"Meriden-Ozawkie Public Library","Louisburg - Hoopla access",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 00-11)",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 00-17)",150,26,52,72,
"Meriden-Ozawkie Public Library","Minor - (age 12)",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 13-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 00-11)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 00-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 12)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (ages 13-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - other (age 00-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - temporary",,,,,
"Meriden-Ozawkie Public Library","Organization - book club",,,,,
"Meriden-Ozawkie Public Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Meriden-Ozawkie Public Library","Staff - in house use (exempt)",,,,,
"Meriden-Ozawkie Public Library","Staff - library associate (exempt)",58,40,7,11,
"Meriden-Ozawkie Public Library","Staff - Permissions template",,,,,
"Meriden-Ozawkie Public Library","Staff - SIP user",,,,,
"Meriden-Ozawkie Public Library","Staff - statistical purposes",,,,,
"Meriden-Ozawkie Public Library","Staff - system login (exempt)",,,,,
"Meriden-Ozawkie Public Library","Student (exempt)",,,,,
"Meriden-Ozawkie Public Library","Student (public library)",,,,,
"Meriden-Ozawkie Public Library","Teacher/Faculty/Administrator (exempt)",3,,1,2,
"Meriden-Ozawkie Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Northeast Kansas Library System",Adult,32,30,,2,
"Northeast Kansas Library System","Adult - college student",,,,,
"Northeast Kansas Library System","Adult - digital only",,,,,
"Northeast Kansas Library System","Adult - homebound",,,,,
"Northeast Kansas Library System","Adult - library associate",,,,,
"Northeast Kansas Library System","Adult - library board of trustees",,,,,
"Northeast Kansas Library System","Adult - other",,,,,
"Northeast Kansas Library System","Adult - self registered during the pandemic",,,,,
"Northeast Kansas Library System","Adult - temporary",,,,,
"Northeast Kansas Library System","Highland Community College - community member",,,,,
"Northeast Kansas Library System","Highland Community College - faculty",,,,,
"Northeast Kansas Library System","Highland Community College - faculty outreach",,,,,
"Northeast Kansas Library System","Highland Community College - staff",,,,,
"Northeast Kansas Library System","Highland Community College - student",,,,,
"Northeast Kansas Library System","Highland Community College - student outreach",,,,,
"Northeast Kansas Library System","Louisburg - Hoopla access",,,,,
"Northeast Kansas Library System","Minor - (age 00-11)",,,,,
"Northeast Kansas Library System","Minor - (age 00-17)",1,,,1,
"Northeast Kansas Library System","Minor - (age 12)",,,,,
"Northeast Kansas Library System","Minor - (age 13-17)",,,,,
"Northeast Kansas Library System","Minor - digital only (age 00-11)",,,,,
"Northeast Kansas Library System","Minor - digital only (age 00-17)",,,,,
"Northeast Kansas Library System","Minor - digital only (age 12)",,,,,
"Northeast Kansas Library System","Minor - digital only (ages 13-17)",,,,,
"Northeast Kansas Library System","Minor - Osawatomie student (age 00-17)",,,,,
"Northeast Kansas Library System","Minor - other (age 00-17)",,,,,
"Northeast Kansas Library System","Minor - temporary",,,,,
"Northeast Kansas Library System","Organization - book club",,,,,
"Northeast Kansas Library System","Organization - interlibrary loan (exempt-ILL)",5,5,,,
"Northeast Kansas Library System","Staff - in house use (exempt)",,,,,
"Northeast Kansas Library System","Staff - library associate (exempt)",42,1,1,40,
"Northeast Kansas Library System","Staff - Permissions template",,,,,
"Northeast Kansas Library System","Staff - SIP user",,,,,
"Northeast Kansas Library System","Staff - statistical purposes",,,,,
"Northeast Kansas Library System","Staff - system login (exempt)",,,,,
"Northeast Kansas Library System","Student (exempt)",,,,,
"Northeast Kansas Library System","Student (public library)",,,,,
"Northeast Kansas Library System","Teacher/Faculty/Administrator (exempt)",,,,,
"Northeast Kansas Library System","Teacher/Faculty/Administrator (public library)",,,,,
"Nortonville Public Library",Adult,175,53,15,107,
"Nortonville Public Library","Adult - college student",,,,,
"Nortonville Public Library","Adult - digital only",,,,,
"Nortonville Public Library","Adult - homebound",,,,,
"Nortonville Public Library","Adult - library associate",,,,,
"Nortonville Public Library","Adult - library board of trustees",,,,,
"Nortonville Public Library","Adult - other",38,14,,24,
"Nortonville Public Library","Adult - self registered during the pandemic",,,,,
"Nortonville Public Library","Adult - temporary",,,,,
"Nortonville Public Library","Highland Community College - community member",,,,,
"Nortonville Public Library","Highland Community College - faculty",,,,,
"Nortonville Public Library","Highland Community College - faculty outreach",,,,,
"Nortonville Public Library","Highland Community College - staff",,,,,
"Nortonville Public Library","Highland Community College - student",,,,,
"Nortonville Public Library","Highland Community College - student outreach",,,,,
"Nortonville Public Library","Louisburg - Hoopla access",,,,,
"Nortonville Public Library","Minor - (age 00-11)",,,,,
"Nortonville Public Library","Minor - (age 00-17)",83,37,5,41,
"Nortonville Public Library","Minor - (age 12)",,,,,
"Nortonville Public Library","Minor - (age 13-17)",,,,,
"Nortonville Public Library","Minor - digital only (age 00-11)",,,,,
"Nortonville Public Library","Minor - digital only (age 00-17)",,,,,
"Nortonville Public Library","Minor - digital only (age 12)",,,,,
"Nortonville Public Library","Minor - digital only (ages 13-17)",,,,,
"Nortonville Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Nortonville Public Library","Minor - other (age 00-17)",,,,,
"Nortonville Public Library","Minor - temporary",,,,,
"Nortonville Public Library","Organization - book club",,,,,
"Nortonville Public Library","Organization - interlibrary loan (exempt-ILL)",43,38,2,3,
"Nortonville Public Library","Staff - in house use (exempt)",8,4,,4,
"Nortonville Public Library","Staff - library associate (exempt)",,,,,
"Nortonville Public Library","Staff - Permissions template",,,,,
"Nortonville Public Library","Staff - SIP user",,,,,
"Nortonville Public Library","Staff - statistical purposes",,,,,
"Nortonville Public Library","Staff - system login (exempt)",,,,,
"Nortonville Public Library","Student (exempt)",,,,,
"Nortonville Public Library","Student (public library)",,,,,
"Nortonville Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Nortonville Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Osage City Library",Adult,1245,1019,34,192,
"Osage City Library","Adult - college student",,,,,
"Osage City Library","Adult - digital only",,,,,
"Osage City Library","Adult - homebound",43,22,,21,
"Osage City Library","Adult - library associate",,,,,
"Osage City Library","Adult - library board of trustees",,,,,
"Osage City Library","Adult - other",62,61,,1,
"Osage City Library","Adult - self registered during the pandemic",,,,,
"Osage City Library","Adult - temporary",,,,,
"Osage City Library","Highland Community College - community member",,,,,
"Osage City Library","Highland Community College - faculty",,,,,
"Osage City Library","Highland Community College - faculty outreach",,,,,
"Osage City Library","Highland Community College - staff",,,,,
"Osage City Library","Highland Community College - student",1,1,,,
"Osage City Library","Highland Community College - student outreach",,,,,
"Osage City Library","Louisburg - Hoopla access",,,,,
"Osage City Library","Minor - (age 00-11)",,,,,
"Osage City Library","Minor - (age 00-17)",158,59,15,84,
"Osage City Library","Minor - (age 12)",,,,,
"Osage City Library","Minor - (age 13-17)",,,,,
"Osage City Library","Minor - digital only (age 00-11)",,,,,
"Osage City Library","Minor - digital only (age 00-17)",,,,,
"Osage City Library","Minor - digital only (age 12)",,,,,
"Osage City Library","Minor - digital only (ages 13-17)",,,,,
"Osage City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Osage City Library","Minor - other (age 00-17)",,,,,
"Osage City Library","Minor - temporary",,,,,
"Osage City Library","Organization - book club",,,,,
"Osage City Library","Organization - interlibrary loan (exempt-ILL)",20,18,2,,
"Osage City Library","Staff - in house use (exempt)",6,6,,,
"Osage City Library","Staff - library associate (exempt)",12,,11,1,
"Osage City Library","Staff - Permissions template",,,,,
"Osage City Library","Staff - SIP user",,,,,
"Osage City Library","Staff - statistical purposes",,,,,
"Osage City Library","Staff - system login (exempt)",,,,,
"Osage City Library","Student (exempt)",,,,,
"Osage City Library","Student (public library)",,,,,
"Osage City Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Osage City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Osawatomie Public Library",Adult,626,525,40,61,
"Osawatomie Public Library","Adult - college student",,,,,
"Osawatomie Public Library","Adult - digital only",,,,,
"Osawatomie Public Library","Adult - homebound",,,,,
"Osawatomie Public Library","Adult - library associate",,,,,
"Osawatomie Public Library","Adult - library board of trustees",,,,,
"Osawatomie Public Library","Adult - other",73,55,,18,
"Osawatomie Public Library","Adult - self registered during the pandemic",,,,,
"Osawatomie Public Library","Adult - temporary",,,,,
"Osawatomie Public Library","Highland Community College - community member",,,,,
"Osawatomie Public Library","Highland Community College - faculty",,,,,
"Osawatomie Public Library","Highland Community College - faculty outreach",,,,,
"Osawatomie Public Library","Highland Community College - staff",,,,,
"Osawatomie Public Library","Highland Community College - student",,,,,
"Osawatomie Public Library","Highland Community College - student outreach",,,,,
"Osawatomie Public Library","Louisburg - Hoopla access",,,,,
"Osawatomie Public Library","Minor - (age 00-11)",,,,,
"Osawatomie Public Library","Minor - (age 00-17)",175,25,26,124,
"Osawatomie Public Library","Minor - (age 12)",,,,,
"Osawatomie Public Library","Minor - (age 13-17)",,,,,
"Osawatomie Public Library","Minor - digital only (age 00-11)",,,,,
"Osawatomie Public Library","Minor - digital only (age 00-17)",,,,,
"Osawatomie Public Library","Minor - digital only (age 12)",,,,,
"Osawatomie Public Library","Minor - digital only (ages 13-17)",,,,,
"Osawatomie Public Library","Minor - Osawatomie student (age 00-17)",85,9,41,35,
"Osawatomie Public Library","Minor - other (age 00-17)",9,,3,6,
"Osawatomie Public Library","Minor - temporary",,,,,
"Osawatomie Public Library","Organization - book club",,,,,
"Osawatomie Public Library","Organization - interlibrary loan (exempt-ILL)",16,13,1,2,
"Osawatomie Public Library","Staff - in house use (exempt)",,,,,
"Osawatomie Public Library","Staff - library associate (exempt)",30,25,,5,
"Osawatomie Public Library","Staff - Permissions template",,,,,
"Osawatomie Public Library","Staff - SIP user",,,,,
"Osawatomie Public Library","Staff - statistical purposes",,,,,
"Osawatomie Public Library","Staff - system login (exempt)",,,,,
"Osawatomie Public Library","Student (exempt)",,,,,
"Osawatomie Public Library","Student (public library)",,,,,
"Osawatomie Public Library","Teacher/Faculty/Administrator (exempt)",101,45,7,49,
"Osawatomie Public Library","Teacher/Faculty/Administrator (public library)",14,,,14,
"Oskaloosa Public Library",Adult,529,377,12,140,
"Oskaloosa Public Library","Adult - college student",,,,,
"Oskaloosa Public Library","Adult - digital only",,,,,
"Oskaloosa Public Library","Adult - homebound",22,22,,,
"Oskaloosa Public Library","Adult - library associate",,,,,
"Oskaloosa Public Library","Adult - library board of trustees",,,,,
"Oskaloosa Public Library","Adult - other",1,1,,,
"Oskaloosa Public Library","Adult - self registered during the pandemic",,,,,
"Oskaloosa Public Library","Adult - temporary",,,,,
"Oskaloosa Public Library","Highland Community College - community member",,,,,
"Oskaloosa Public Library","Highland Community College - faculty",,,,,
"Oskaloosa Public Library","Highland Community College - faculty outreach",,,,,
"Oskaloosa Public Library","Highland Community College - staff",,,,,
"Oskaloosa Public Library","Highland Community College - student",,,,,
"Oskaloosa Public Library","Highland Community College - student outreach",,,,,
"Oskaloosa Public Library","Louisburg - Hoopla access",,,,,
"Oskaloosa Public Library","Minor - (age 00-11)",,,,,
"Oskaloosa Public Library","Minor - (age 00-17)",25,2,4,19,
"Oskaloosa Public Library","Minor - (age 12)",,,,,
"Oskaloosa Public Library","Minor - (age 13-17)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 00-11)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 12)",,,,,
"Oskaloosa Public Library","Minor - digital only (ages 13-17)",,,,,
"Oskaloosa Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - other (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - temporary",,,,,
"Oskaloosa Public Library","Organization - book club",,,,,
"Oskaloosa Public Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Oskaloosa Public Library","Staff - in house use (exempt)",,,,,
"Oskaloosa Public Library","Staff - library associate (exempt)",26,24,2,,
"Oskaloosa Public Library","Staff - Permissions template",,,,,
"Oskaloosa Public Library","Staff - SIP user",,,,,
"Oskaloosa Public Library","Staff - statistical purposes",,,,,
"Oskaloosa Public Library","Staff - system login (exempt)",,,,,
"Oskaloosa Public Library","Student (exempt)",,,,,
"Oskaloosa Public Library","Student (public library)",,,,,
"Oskaloosa Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Oskaloosa Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Ottawa Library",Adult,2609,1638,76,894,1
"Ottawa Library","Adult - college student",,,,,
"Ottawa Library","Adult - digital only",,,,,
"Ottawa Library","Adult - homebound",,,,,
"Ottawa Library","Adult - library associate",38,30,3,5,
"Ottawa Library","Adult - library board of trustees",,,,,
"Ottawa Library","Adult - other",1522,743,73,705,1
"Ottawa Library","Adult - self registered during the pandemic",,,,,
"Ottawa Library","Adult - temporary",,,,,
"Ottawa Library","Highland Community College - community member",,,,,
"Ottawa Library","Highland Community College - faculty",,,,,
"Ottawa Library","Highland Community College - faculty outreach",,,,,
"Ottawa Library","Highland Community College - staff",,,,,
"Ottawa Library","Highland Community College - student",,,,,
"Ottawa Library","Highland Community College - student outreach",,,,,
"Ottawa Library","Louisburg - Hoopla access",,,,,
"Ottawa Library","Minor - (age 00-11)",,,,,
"Ottawa Library","Minor - (age 00-17)",643,128,69,446,
"Ottawa Library","Minor - (age 12)",,,,,
"Ottawa Library","Minor - (age 13-17)",,,,,
"Ottawa Library","Minor - digital only (age 00-11)",,,,,
"Ottawa Library","Minor - digital only (age 00-17)",,,,,
"Ottawa Library","Minor - digital only (age 12)",,,,,
"Ottawa Library","Minor - digital only (ages 13-17)",,,,,
"Ottawa Library","Minor - Osawatomie student (age 00-17)",,,,,
"Ottawa Library","Minor - other (age 00-17)",516,56,48,412,
"Ottawa Library","Minor - temporary",,,,,
"Ottawa Library","Organization - book club",1,,1,,
"Ottawa Library","Organization - interlibrary loan (exempt-ILL)",34,26,3,5,
"Ottawa Library","Staff - in house use (exempt)",421,188,21,212,
"Ottawa Library","Staff - library associate (exempt)",,,,,
"Ottawa Library","Staff - Permissions template",,,,,
"Ottawa Library","Staff - SIP user",,,,,
"Ottawa Library","Staff - statistical purposes",,,,,
"Ottawa Library","Staff - system login (exempt)",1,,1,,
"Ottawa Library","Student (exempt)",,,,,
"Ottawa Library","Student (public library)",,,,,
"Ottawa Library","Teacher/Faculty/Administrator (exempt)",62,9,16,37,
"Ottawa Library","Teacher/Faculty/Administrator (public library)",1105,286,16,803,
"Overbrook Public Library",Adult,625,374,17,230,4
"Overbrook Public Library","Adult - college student",,,,,
"Overbrook Public Library","Adult - digital only",,,,,
"Overbrook Public Library","Adult - homebound",,,,,
"Overbrook Public Library","Adult - library associate",,,,,
"Overbrook Public Library","Adult - library board of trustees",,,,,
"Overbrook Public Library","Adult - other",297,237,,56,4
"Overbrook Public Library","Adult - self registered during the pandemic",,,,,
"Overbrook Public Library","Adult - temporary",,,,,
"Overbrook Public Library","Highland Community College - community member",,,,,
"Overbrook Public Library","Highland Community College - faculty",,,,,
"Overbrook Public Library","Highland Community College - faculty outreach",,,,,
"Overbrook Public Library","Highland Community College - staff",,,,,
"Overbrook Public Library","Highland Community College - student",,,,,
"Overbrook Public Library","Highland Community College - student outreach",,,,,
"Overbrook Public Library","Louisburg - Hoopla access",,,,,
"Overbrook Public Library","Minor - (age 00-11)",,,,,
"Overbrook Public Library","Minor - (age 00-17)",24,6,1,17,
"Overbrook Public Library","Minor - (age 12)",,,,,
"Overbrook Public Library","Minor - (age 13-17)",,,,,
"Overbrook Public Library","Minor - digital only (age 00-11)",,,,,
"Overbrook Public Library","Minor - digital only (age 00-17)",,,,,
"Overbrook Public Library","Minor - digital only (age 12)",,,,,
"Overbrook Public Library","Minor - digital only (ages 13-17)",,,,,
"Overbrook Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Overbrook Public Library","Minor - other (age 00-17)",7,5,2,,
"Overbrook Public Library","Minor - temporary",,,,,
"Overbrook Public Library","Organization - book club",,,,,
"Overbrook Public Library","Organization - interlibrary loan (exempt-ILL)",5,2,3,,
"Overbrook Public Library","Staff - in house use (exempt)",,,,,
"Overbrook Public Library","Staff - library associate (exempt)",4,3,1,,
"Overbrook Public Library","Staff - Permissions template",,,,,
"Overbrook Public Library","Staff - SIP user",,,,,
"Overbrook Public Library","Staff - statistical purposes",,,,,
"Overbrook Public Library","Staff - system login (exempt)",,,,,
"Overbrook Public Library","Student (exempt)",,,,,
"Overbrook Public Library","Student (public library)",,,,,
"Overbrook Public Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Overbrook Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Paola Free Library",Adult,1183,782,44,357,
"Paola Free Library","Adult - college student",,,,,
"Paola Free Library","Adult - digital only",,,,,
"Paola Free Library","Adult - homebound",12,10,,2,
"Paola Free Library","Adult - library associate",18,17,,1,
"Paola Free Library","Adult - library board of trustees",,,,,
"Paola Free Library","Adult - other",1059,686,18,355,
"Paola Free Library","Adult - self registered during the pandemic",,,,,
"Paola Free Library","Adult - temporary",,,,,
"Paola Free Library","Highland Community College - community member",,,,,
"Paola Free Library","Highland Community College - faculty",,,,,
"Paola Free Library","Highland Community College - faculty outreach",,,,,
"Paola Free Library","Highland Community College - staff",,,,,
"Paola Free Library","Highland Community College - student",,,,,
"Paola Free Library","Highland Community College - student outreach",,,,,
"Paola Free Library","Louisburg - Hoopla access",,,,,
"Paola Free Library","Minor - (age 00-11)",,,,,
"Paola Free Library","Minor - (age 00-17)",410,43,27,340,
"Paola Free Library","Minor - (age 12)",,,,,
"Paola Free Library","Minor - (age 13-17)",,,,,
"Paola Free Library","Minor - digital only (age 00-11)",,,,,
"Paola Free Library","Minor - digital only (age 00-17)",,,,,
"Paola Free Library","Minor - digital only (age 12)",,,,,
"Paola Free Library","Minor - digital only (ages 13-17)",,,,,
"Paola Free Library","Minor - Osawatomie student (age 00-17)",,,,,
"Paola Free Library","Minor - other (age 00-17)",264,41,19,204,
"Paola Free Library","Minor - temporary",,,,,
"Paola Free Library","Organization - book club",,,,,
"Paola Free Library","Organization - interlibrary loan (exempt-ILL)",21,15,3,3,
"Paola Free Library","Staff - in house use (exempt)",222,163,2,57,
"Paola Free Library","Staff - library associate (exempt)",,,,,
"Paola Free Library","Staff - Permissions template",,,,,
"Paola Free Library","Staff - SIP user",,,,,
"Paola Free Library","Staff - statistical purposes",,,,,
"Paola Free Library","Staff - system login (exempt)",,,,,
"Paola Free Library","Student (exempt)",,,,,
"Paola Free Library","Student (public library)",,,,,
"Paola Free Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Paola Free Library","Teacher/Faculty/Administrator (public library)",220,39,10,171,
"Perry-Lecompton Community Library",Adult,62,34,5,23,
"Perry-Lecompton Community Library","Adult - college student",,,,,
"Perry-Lecompton Community Library","Adult - digital only",,,,,
"Perry-Lecompton Community Library","Adult - homebound",,,,,
"Perry-Lecompton Community Library","Adult - library associate",,,,,
"Perry-Lecompton Community Library","Adult - library board of trustees",,,,,
"Perry-Lecompton Community Library","Adult - other",,,,,
"Perry-Lecompton Community Library","Adult - self registered during the pandemic",,,,,
"Perry-Lecompton Community Library","Adult - temporary",,,,,
"Perry-Lecompton Community Library","Highland Community College - community member",,,,,
"Perry-Lecompton Community Library","Highland Community College - faculty",,,,,
"Perry-Lecompton Community Library","Highland Community College - faculty outreach",,,,,
"Perry-Lecompton Community Library","Highland Community College - staff",,,,,
"Perry-Lecompton Community Library","Highland Community College - student",,,,,
"Perry-Lecompton Community Library","Highland Community College - student outreach",,,,,
"Perry-Lecompton Community Library","Louisburg - Hoopla access",,,,,
"Perry-Lecompton Community Library","Minor - (age 00-11)",,,,,
"Perry-Lecompton Community Library","Minor - (age 00-17)",17,6,,11,
"Perry-Lecompton Community Library","Minor - (age 12)",,,,,
"Perry-Lecompton Community Library","Minor - (age 13-17)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (age 00-11)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (age 00-17)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (age 12)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (ages 13-17)",,,,,
"Perry-Lecompton Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Perry-Lecompton Community Library","Minor - other (age 00-17)",,,,,
"Perry-Lecompton Community Library","Minor - temporary",,,,,
"Perry-Lecompton Community Library","Organization - book club",,,,,
"Perry-Lecompton Community Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Perry-Lecompton Community Library","Staff - in house use (exempt)",,,,,
"Perry-Lecompton Community Library","Staff - library associate (exempt)",7,7,,,
"Perry-Lecompton Community Library","Staff - Permissions template",,,,,
"Perry-Lecompton Community Library","Staff - SIP user",,,,,
"Perry-Lecompton Community Library","Staff - statistical purposes",,,,,
"Perry-Lecompton Community Library","Staff - system login (exempt)",,,,,
"Perry-Lecompton Community Library","Student (exempt)",,,,,
"Perry-Lecompton Community Library","Student (public library)",,,,,
"Perry-Lecompton Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Perry-Lecompton Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Pomona Community Library",Adult,66,20,19,27,
"Pomona Community Library","Adult - college student",,,,,
"Pomona Community Library","Adult - digital only",,,,,
"Pomona Community Library","Adult - homebound",,,,,
"Pomona Community Library","Adult - library associate",,,,,
"Pomona Community Library","Adult - library board of trustees",,,,,
"Pomona Community Library","Adult - other",11,2,2,7,
"Pomona Community Library","Adult - self registered during the pandemic",,,,,
"Pomona Community Library","Adult - temporary",,,,,
"Pomona Community Library","Highland Community College - community member",,,,,
"Pomona Community Library","Highland Community College - faculty",,,,,
"Pomona Community Library","Highland Community College - faculty outreach",,,,,
"Pomona Community Library","Highland Community College - staff",,,,,
"Pomona Community Library","Highland Community College - student",,,,,
"Pomona Community Library","Highland Community College - student outreach",,,,,
"Pomona Community Library","Louisburg - Hoopla access",,,,,
"Pomona Community Library","Minor - (age 00-11)",,,,,
"Pomona Community Library","Minor - (age 00-17)",31,,20,11,
"Pomona Community Library","Minor - (age 12)",,,,,
"Pomona Community Library","Minor - (age 13-17)",,,,,
