LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Louisburg Library","Minor - (age 13-17)",,,,,
"Louisburg Library","Minor - digital only (age 00-11)",,,,,
"Louisburg Library","Minor - digital only (age 00-17)",,,,,
"Louisburg Library","Minor - digital only (age 12)",,,,,
"Louisburg Library","Minor - digital only (ages 13-17)",,,,,
"Louisburg Library","Minor - Osawatomie student (age 00-17)",,,,,
"Louisburg Library","Minor - other (age 00-17)",,,,,
"Louisburg Library","Minor - temporary",,,,,
"Louisburg Library","Organization - book club",,,,,
"Louisburg Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Louisburg Library","Staff - in house use (exempt)",,,,,
"Louisburg Library","Staff - library associate (exempt)",,,,,
"Louisburg Library","Staff - Permissions template",,,,,
"Louisburg Library","Staff - SIP user",,,,,
"Louisburg Library","Staff - statistical purposes",,,,,
"Louisburg Library","Staff - system login (exempt)",22,,,,
"Louisburg Library","Student (exempt)",,,,,
"Louisburg Library","Student (public library)",,,,,
"Louisburg Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Louisburg Library","Teacher/Faculty/Administrator (public library)",,,,,
"Lyndon Carnegie Library",Adult,750,13,3,,Yes
"Lyndon Carnegie Library","Adult - college student",,,,,
"Lyndon Carnegie Library","Adult - digital only",,,,,
"Lyndon Carnegie Library","Adult - homebound",,,,,
"Lyndon Carnegie Library","Adult - library associate",,,,,
"Lyndon Carnegie Library","Adult - library board of trustees",,,,,
"Lyndon Carnegie Library","Adult - other",15,1,,,Yes
"Lyndon Carnegie Library","Adult - self registered during the pandemic",1,,,,
"Lyndon Carnegie Library","Adult - temporary",,,,,
"Lyndon Carnegie Library","Highland Community College - community member",,,,,
"Lyndon Carnegie Library","Highland Community College - faculty",,,,,
"Lyndon Carnegie Library","Highland Community College - faculty outreach",,,,,
"Lyndon Carnegie Library","Highland Community College - staff",,,,,
"Lyndon Carnegie Library","Highland Community College - student",,,,,
"Lyndon Carnegie Library","Highland Community College - student outreach",,,,,
"Lyndon Carnegie Library","Louisburg - Hoopla access",,,,,
"Lyndon Carnegie Library","Minor - (age 00-11)",,,,,
"Lyndon Carnegie Library","Minor - (age 00-17)",192,5,1,,Yes
"Lyndon Carnegie Library","Minor - (age 12)",,,,,
"Lyndon Carnegie Library","Minor - (age 13-17)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 00-11)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 00-17)",,,,,
"Lyndon Carnegie Library","Minor - digital only (age 12)",,,,,
"Lyndon Carnegie Library","Minor - digital only (ages 13-17)",,,,,
"Lyndon Carnegie Library","Minor - Osawatomie student (age 00-17)",,,,,
"Lyndon Carnegie Library","Minor - other (age 00-17)",3,,,,Yes
"Lyndon Carnegie Library","Minor - temporary",,,,,
"Lyndon Carnegie Library","Organization - book club",4,,,,Yes
"Lyndon Carnegie Library","Organization - interlibrary loan (exempt-ILL)",26,,,,Yes
"Lyndon Carnegie Library","Staff - in house use (exempt)",1,,,,Yes
"Lyndon Carnegie Library","Staff - library associate (exempt)",1,,,,Yes
"Lyndon Carnegie Library","Staff - Permissions template",,,,,
"Lyndon Carnegie Library","Staff - SIP user",,,,,
"Lyndon Carnegie Library","Staff - statistical purposes",,,,,
"Lyndon Carnegie Library","Staff - system login (exempt)",23,,,,
"Lyndon Carnegie Library","Student (exempt)",,,,,
"Lyndon Carnegie Library","Student (public library)",,,,,
"Lyndon Carnegie Library","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Lyndon Carnegie Library","Teacher/Faculty/Administrator (public library)",,,,,
"McLouth Public Library",Adult,363,2,6,,Yes
"McLouth Public Library","Adult - college student",1,,,,Yes
"McLouth Public Library","Adult - digital only",,,,,
"McLouth Public Library","Adult - homebound",,,,,
"McLouth Public Library","Adult - library associate",,,,,
"McLouth Public Library","Adult - library board of trustees",3,,1,,Yes
"McLouth Public Library","Adult - other",73,1,,,Yes
"McLouth Public Library","Adult - self registered during the pandemic",,,,,
"McLouth Public Library","Adult - temporary",,,,,
"McLouth Public Library","Highland Community College - community member",,,,,
"McLouth Public Library","Highland Community College - faculty",,,,,
"McLouth Public Library","Highland Community College - faculty outreach",,,,,
"McLouth Public Library","Highland Community College - staff",,,,,
"McLouth Public Library","Highland Community College - student",,,,,
"McLouth Public Library","Highland Community College - student outreach",,,,,
"McLouth Public Library","Louisburg - Hoopla access",,,,,
"McLouth Public Library","Minor - (age 00-11)",,,,,
"McLouth Public Library","Minor - (age 00-17)",148,1,1,,Yes
"McLouth Public Library","Minor - (age 12)",,,,,
"McLouth Public Library","Minor - (age 13-17)",,,,,
"McLouth Public Library","Minor - digital only (age 00-11)",,,,,
"McLouth Public Library","Minor - digital only (age 00-17)",,,,,
"McLouth Public Library","Minor - digital only (age 12)",,,,,
"McLouth Public Library","Minor - digital only (ages 13-17)",,,,,
"McLouth Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"McLouth Public Library","Minor - other (age 00-17)",8,,1,,Yes
"McLouth Public Library","Minor - temporary",,,,,
"McLouth Public Library","Organization - book club",,,,,Yes
"McLouth Public Library","Organization - interlibrary loan (exempt-ILL)",2,,,,Yes
"McLouth Public Library","Staff - in house use (exempt)",,,,,
"McLouth Public Library","Staff - library associate (exempt)",2,,,,Yes
"McLouth Public Library","Staff - Permissions template",,,,,
"McLouth Public Library","Staff - SIP user",,,,,
"McLouth Public Library","Staff - statistical purposes",,,,,
"McLouth Public Library","Staff - system login (exempt)",24,,,,
"McLouth Public Library","Student (exempt)",2,,,,Yes
"McLouth Public Library","Student (public library)",,,,,
"McLouth Public Library","Teacher/Faculty/Administrator (exempt)",6,,,,Yes
"McLouth Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Meriden-Ozawkie Public Library",Adult,1373,33,10,,Yes
"Meriden-Ozawkie Public Library","Adult - college student",,,,,
"Meriden-Ozawkie Public Library","Adult - digital only",,,,,
"Meriden-Ozawkie Public Library","Adult - homebound",,,,,
"Meriden-Ozawkie Public Library","Adult - library associate",,,,,
"Meriden-Ozawkie Public Library","Adult - library board of trustees",,,,,
"Meriden-Ozawkie Public Library","Adult - other",137,3,,,Yes
"Meriden-Ozawkie Public Library","Adult - self registered during the pandemic",,,,,
"Meriden-Ozawkie Public Library","Adult - temporary",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - community member",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - faculty",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - faculty outreach",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - staff",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - student",,,,,
"Meriden-Ozawkie Public Library","Highland Community College - student outreach",,,,,
"Meriden-Ozawkie Public Library","Louisburg - Hoopla access",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 00-11)",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 00-17)",361,2,2,1,Yes
"Meriden-Ozawkie Public Library","Minor - (age 12)",,,,,
"Meriden-Ozawkie Public Library","Minor - (age 13-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 00-11)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 00-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (age 12)",,,,,
"Meriden-Ozawkie Public Library","Minor - digital only (ages 13-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Meriden-Ozawkie Public Library","Minor - other (age 00-17)",7,,,,Yes
"Meriden-Ozawkie Public Library","Minor - temporary",,,,,
"Meriden-Ozawkie Public Library","Organization - book club",1,,,,Yes
"Meriden-Ozawkie Public Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Meriden-Ozawkie Public Library","Staff - in house use (exempt)",,,,,
"Meriden-Ozawkie Public Library","Staff - library associate (exempt)",2,,,,Yes
"Meriden-Ozawkie Public Library","Staff - Permissions template",,,,,
"Meriden-Ozawkie Public Library","Staff - SIP user",1,,,,
"Meriden-Ozawkie Public Library","Staff - statistical purposes",,,,,
"Meriden-Ozawkie Public Library","Staff - system login (exempt)",23,,,,
"Meriden-Ozawkie Public Library","Student (exempt)",,,,,
"Meriden-Ozawkie Public Library","Student (public library)",,,,,
"Meriden-Ozawkie Public Library","Teacher/Faculty/Administrator (exempt)",4,1,,,Yes
"Meriden-Ozawkie Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Northeast Kansas Library System",Adult,59,,2,5,Yes
"Northeast Kansas Library System","Adult - college student",,,,,Yes
"Northeast Kansas Library System","Adult - digital only",,,,,Yes
"Northeast Kansas Library System","Adult - homebound",,,,,Yes
"Northeast Kansas Library System","Adult - library associate",4,,,,Yes
"Northeast Kansas Library System","Adult - library board of trustees",,,,,Yes
"Northeast Kansas Library System","Adult - other",,,,,Yes
"Northeast Kansas Library System","Adult - self registered during the pandemic",30,,,,Yes
"Northeast Kansas Library System","Adult - temporary",,,,,Yes
"Northeast Kansas Library System","Highland Community College - community member",,,,,Yes
"Northeast Kansas Library System","Highland Community College - faculty",,,,,Yes
"Northeast Kansas Library System","Highland Community College - faculty outreach",,,,,Yes
"Northeast Kansas Library System","Highland Community College - staff",,,,,Yes
"Northeast Kansas Library System","Highland Community College - student",,,,,Yes
"Northeast Kansas Library System","Highland Community College - student outreach",,,,,Yes
"Northeast Kansas Library System","Louisburg - Hoopla access",,,,,Yes
"Northeast Kansas Library System","Minor - (age 00-11)",,,,,Yes
"Northeast Kansas Library System","Minor - (age 00-17)",15,,,,Yes
"Northeast Kansas Library System","Minor - (age 12)",,,,,Yes
"Northeast Kansas Library System","Minor - (age 13-17)",,,,,Yes
"Northeast Kansas Library System","Minor - digital only (age 00-11)",,,,,Yes
"Northeast Kansas Library System","Minor - digital only (age 00-17)",,,,,Yes
"Northeast Kansas Library System","Minor - digital only (age 12)",,,,,Yes
"Northeast Kansas Library System","Minor - digital only (ages 13-17)",,,,,Yes
"Northeast Kansas Library System","Minor - Osawatomie student (age 00-17)",,,,,Yes
"Northeast Kansas Library System","Minor - other (age 00-17)",,,,,Yes
"Northeast Kansas Library System","Minor - temporary",,,,,Yes
"Northeast Kansas Library System","Organization - book club",3,,,,Yes
"Northeast Kansas Library System","Organization - interlibrary loan (exempt-ILL)",12,,,,Yes
"Northeast Kansas Library System","Staff - in house use (exempt)",28,,,,Yes
"Northeast Kansas Library System","Staff - library associate (exempt)",15,,,,Yes
"Northeast Kansas Library System","Staff - Permissions template",12,,,,Yes
"Northeast Kansas Library System","Staff - SIP user",5,,,,Yes
"Northeast Kansas Library System","Staff - statistical purposes",3,,,,Yes
"Northeast Kansas Library System","Staff - system login (exempt)",40,,1,,
"Northeast Kansas Library System","Student (exempt)",,,,,Yes
"Northeast Kansas Library System","Student (public library)",,,,,Yes
"Northeast Kansas Library System","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Northeast Kansas Library System","Teacher/Faculty/Administrator (public library)",,,,,Yes
"Nortonville Public Library",Adult,402,4,,,Yes
"Nortonville Public Library","Adult - college student",,,,,
"Nortonville Public Library","Adult - digital only",,,,,
"Nortonville Public Library","Adult - homebound",1,,,,Yes
"Nortonville Public Library","Adult - library associate",,,,,
"Nortonville Public Library","Adult - library board of trustees",,,,,
"Nortonville Public Library","Adult - other",6,,,,Yes
"Nortonville Public Library","Adult - self registered during the pandemic",1,,,,
"Nortonville Public Library","Adult - temporary",,,,,
"Nortonville Public Library","Highland Community College - community member",,,,,
"Nortonville Public Library","Highland Community College - faculty",,,,,
"Nortonville Public Library","Highland Community College - faculty outreach",,,,,
"Nortonville Public Library","Highland Community College - staff",,,,,
"Nortonville Public Library","Highland Community College - student",,,,,
"Nortonville Public Library","Highland Community College - student outreach",,,,,
"Nortonville Public Library","Louisburg - Hoopla access",,,,,
"Nortonville Public Library","Minor - (age 00-11)",,,,,
"Nortonville Public Library","Minor - (age 00-17)",95,1,,,Yes
"Nortonville Public Library","Minor - (age 12)",,,,,
"Nortonville Public Library","Minor - (age 13-17)",,,,,
"Nortonville Public Library","Minor - digital only (age 00-11)",,,,,
"Nortonville Public Library","Minor - digital only (age 00-17)",,,,,
"Nortonville Public Library","Minor - digital only (age 12)",,,,,
"Nortonville Public Library","Minor - digital only (ages 13-17)",,,,,
"Nortonville Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Nortonville Public Library","Minor - other (age 00-17)",1,1,,,Yes
"Nortonville Public Library","Minor - temporary",,,,,
"Nortonville Public Library","Organization - book club",2,,,,Yes
"Nortonville Public Library","Organization - interlibrary loan (exempt-ILL)",,,,,Yes
"Nortonville Public Library","Staff - in house use (exempt)",1,,,,Yes
"Nortonville Public Library","Staff - library associate (exempt)",2,,,,Yes
"Nortonville Public Library","Staff - Permissions template",,,,,
"Nortonville Public Library","Staff - SIP user",,,,,
"Nortonville Public Library","Staff - statistical purposes",1,,,,Yes
"Nortonville Public Library","Staff - system login (exempt)",23,,,,
"Nortonville Public Library","Student (exempt)",,,,,
"Nortonville Public Library","Student (public library)",,,,,
"Nortonville Public Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Nortonville Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Osage City Library",Adult,1596,28,9,1,Yes
"Osage City Library","Adult - college student",,,,,
"Osage City Library","Adult - digital only",,,,,
"Osage City Library","Adult - homebound",14,2,,,Yes
"Osage City Library","Adult - library associate",,,,,
"Osage City Library","Adult - library board of trustees",,,,,
"Osage City Library","Adult - other",8,,,,Yes
"Osage City Library","Adult - self registered during the pandemic",,,,,
"Osage City Library","Adult - temporary",,,,,
"Osage City Library","Highland Community College - community member",,,,,
"Osage City Library","Highland Community College - faculty",,,,,
"Osage City Library","Highland Community College - faculty outreach",,,,,
"Osage City Library","Highland Community College - staff",,,,,
"Osage City Library","Highland Community College - student",,,,,
"Osage City Library","Highland Community College - student outreach",,,,,
"Osage City Library","Louisburg - Hoopla access",,,,,
"Osage City Library","Minor - (age 00-11)",,,,,
"Osage City Library","Minor - (age 00-17)",471,3,5,2,Yes
"Osage City Library","Minor - (age 12)",,,,,
"Osage City Library","Minor - (age 13-17)",,,,,
"Osage City Library","Minor - digital only (age 00-11)",,,,,
"Osage City Library","Minor - digital only (age 00-17)",,,,,
"Osage City Library","Minor - digital only (age 12)",,,,,
"Osage City Library","Minor - digital only (ages 13-17)",,,,,
"Osage City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Osage City Library","Minor - other (age 00-17)",3,,,,Yes
"Osage City Library","Minor - temporary",,,,,
"Osage City Library","Organization - book club",,,,,Yes
"Osage City Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Osage City Library","Staff - in house use (exempt)",1,,,,Yes
"Osage City Library","Staff - library associate (exempt)",5,,,,Yes
"Osage City Library","Staff - Permissions template",,,,,
"Osage City Library","Staff - SIP user",,,,,
"Osage City Library","Staff - statistical purposes",,,,,
"Osage City Library","Staff - system login (exempt)",23,,,,
"Osage City Library","Student (exempt)",,,,,
"Osage City Library","Student (public library)",,,,,
"Osage City Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Osage City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Osawatomie Public Library",Adult,1713,13,6,,Yes
"Osawatomie Public Library","Adult - college student",,,,,
"Osawatomie Public Library","Adult - digital only",,,,,
"Osawatomie Public Library","Adult - homebound",,,,,
"Osawatomie Public Library","Adult - library associate",,,,,
"Osawatomie Public Library","Adult - library board of trustees",,,,,
"Osawatomie Public Library","Adult - other",41,1,1,,Yes
"Osawatomie Public Library","Adult - self registered during the pandemic",1,,,,
"Osawatomie Public Library","Adult - temporary",,,,,
"Osawatomie Public Library","Highland Community College - community member",,,,,
"Osawatomie Public Library","Highland Community College - faculty",,,,,
"Osawatomie Public Library","Highland Community College - faculty outreach",,,,,
"Osawatomie Public Library","Highland Community College - staff",,,,,
"Osawatomie Public Library","Highland Community College - student",,,,,
"Osawatomie Public Library","Highland Community College - student outreach",,,,,
"Osawatomie Public Library","Louisburg - Hoopla access",,,,,
"Osawatomie Public Library","Minor - (age 00-11)",,,,,
"Osawatomie Public Library","Minor - (age 00-17)",516,5,1,,Yes
"Osawatomie Public Library","Minor - (age 12)",,,,,
"Osawatomie Public Library","Minor - (age 13-17)",,,,,
"Osawatomie Public Library","Minor - digital only (age 00-11)",,,,,
"Osawatomie Public Library","Minor - digital only (age 00-17)",,,,,
"Osawatomie Public Library","Minor - digital only (age 12)",,,,,
"Osawatomie Public Library","Minor - digital only (ages 13-17)",,,,,
"Osawatomie Public Library","Minor - Osawatomie student (age 00-17)",199,,,,Yes
"Osawatomie Public Library","Minor - other (age 00-17)",9,1,,,Yes
"Osawatomie Public Library","Minor - temporary",,,,,
"Osawatomie Public Library","Organization - book club",,,,,Yes
"Osawatomie Public Library","Organization - interlibrary loan (exempt-ILL)",328,,,,Yes
"Osawatomie Public Library","Staff - in house use (exempt)",,,,,
"Osawatomie Public Library","Staff - library associate (exempt)",6,,,,Yes
"Osawatomie Public Library","Staff - Permissions template",,,,,
"Osawatomie Public Library","Staff - SIP user",,,,,
"Osawatomie Public Library","Staff - statistical purposes",,,,,
"Osawatomie Public Library","Staff - system login (exempt)",23,,,,
"Osawatomie Public Library","Student (exempt)",,,,,
"Osawatomie Public Library","Student (public library)",,,,,
"Osawatomie Public Library","Teacher/Faculty/Administrator (exempt)",50,,,,Yes
"Osawatomie Public Library","Teacher/Faculty/Administrator (public library)",1,,,,
"Oskaloosa Public Library",Adult,968,19,1,,Yes
"Oskaloosa Public Library","Adult - college student",,,,,
"Oskaloosa Public Library","Adult - digital only",,,,,
"Oskaloosa Public Library","Adult - homebound",7,,,,Yes
"Oskaloosa Public Library","Adult - library associate",,,,,
"Oskaloosa Public Library","Adult - library board of trustees",,,,,
"Oskaloosa Public Library","Adult - other",,,,,
"Oskaloosa Public Library","Adult - self registered during the pandemic",1,,,,
"Oskaloosa Public Library","Adult - temporary",,,,,
"Oskaloosa Public Library","Highland Community College - community member",,,,,
"Oskaloosa Public Library","Highland Community College - faculty",,,,,
"Oskaloosa Public Library","Highland Community College - faculty outreach",,,,,
"Oskaloosa Public Library","Highland Community College - staff",,,,,
"Oskaloosa Public Library","Highland Community College - student",,,,,
"Oskaloosa Public Library","Highland Community College - student outreach",,,,,
"Oskaloosa Public Library","Louisburg - Hoopla access",,,,,
"Oskaloosa Public Library","Minor - (age 00-11)",,,,,
"Oskaloosa Public Library","Minor - (age 00-17)",237,2,,,Yes
"Oskaloosa Public Library","Minor - (age 12)",,,,,
"Oskaloosa Public Library","Minor - (age 13-17)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 00-11)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - digital only (age 12)",,,,,
"Oskaloosa Public Library","Minor - digital only (ages 13-17)",,,,,
"Oskaloosa Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - other (age 00-17)",,,,,
"Oskaloosa Public Library","Minor - temporary",,,,,
"Oskaloosa Public Library","Organization - book club",3,1,,,Yes
"Oskaloosa Public Library","Organization - interlibrary loan (exempt-ILL)",,,,,Yes
"Oskaloosa Public Library","Staff - in house use (exempt)",2,,,,Yes
"Oskaloosa Public Library","Staff - library associate (exempt)",3,1,,,Yes
"Oskaloosa Public Library","Staff - Permissions template",,,,,
"Oskaloosa Public Library","Staff - SIP user",,,,,
"Oskaloosa Public Library","Staff - statistical purposes",,,,,
"Oskaloosa Public Library","Staff - system login (exempt)",23,,,,
"Oskaloosa Public Library","Student (exempt)",,,,,
"Oskaloosa Public Library","Student (public library)",,,,,
"Oskaloosa Public Library","Teacher/Faculty/Administrator (exempt)",1,,,,
"Oskaloosa Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Ottawa Library",Adult,4991,91,15,3,Yes
"Ottawa Library","Adult - college student",,,,,
"Ottawa Library","Adult - digital only",,,,,
"Ottawa Library","Adult - homebound",4,,,,Yes
"Ottawa Library","Adult - library associate",15,1,,,Yes
"Ottawa Library","Adult - library board of trustees",1,,,,Yes
"Ottawa Library","Adult - other",2127,31,16,,Yes
"Ottawa Library","Adult - self registered during the pandemic",,,,,
"Ottawa Library","Adult - temporary",,,,,
"Ottawa Library","Highland Community College - community member",,,,,
"Ottawa Library","Highland Community College - faculty",,,,,
"Ottawa Library","Highland Community College - faculty outreach",,,,,
"Ottawa Library","Highland Community College - staff",,,,,
"Ottawa Library","Highland Community College - student",,,,,
"Ottawa Library","Highland Community College - student outreach",,,,,
"Ottawa Library","Louisburg - Hoopla access",,,,,
"Ottawa Library","Minor - (age 00-11)",,,,,
"Ottawa Library","Minor - (age 00-17)",1057,15,5,,Yes
"Ottawa Library","Minor - (age 12)",,,,,
"Ottawa Library","Minor - (age 13-17)",,,,,
"Ottawa Library","Minor - digital only (age 00-11)",,,,,
"Ottawa Library","Minor - digital only (age 00-17)",,,,,
"Ottawa Library","Minor - digital only (age 12)",,,,,
"Ottawa Library","Minor - digital only (ages 13-17)",,,,,
"Ottawa Library","Minor - Osawatomie student (age 00-17)",,,,,
"Ottawa Library","Minor - other (age 00-17)",459,5,,,Yes
"Ottawa Library","Minor - temporary",,,,,
"Ottawa Library","Organization - book club",1,,,,Yes
"Ottawa Library","Organization - interlibrary loan (exempt-ILL)",379,,,,Yes
"Ottawa Library","Staff - in house use (exempt)",35,,,,Yes
"Ottawa Library","Staff - library associate (exempt)",,,,,
"Ottawa Library","Staff - Permissions template",,,,,
"Ottawa Library","Staff - SIP user",3,,,,
"Ottawa Library","Staff - statistical purposes",,,,,
"Ottawa Library","Staff - system login (exempt)",23,,,,
"Ottawa Library","Student (exempt)",,,,,
"Ottawa Library","Student (public library)",,,,,
"Ottawa Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Ottawa Library","Teacher/Faculty/Administrator (public library)",166,8,,,Yes
"Overbrook Public Library",Adult,767,15,5,,Yes
"Overbrook Public Library","Adult - college student",,,,,
"Overbrook Public Library","Adult - digital only",,,,,
"Overbrook Public Library","Adult - homebound",,,,,
"Overbrook Public Library","Adult - library associate",,,,,
"Overbrook Public Library","Adult - library board of trustees",,,,,
"Overbrook Public Library","Adult - other",206,11,,,Yes
"Overbrook Public Library","Adult - self registered during the pandemic",,,,,
"Overbrook Public Library","Adult - temporary",,,,,
"Overbrook Public Library","Highland Community College - community member",,,,,
"Overbrook Public Library","Highland Community College - faculty",,,,,
"Overbrook Public Library","Highland Community College - faculty outreach",,,,,
"Overbrook Public Library","Highland Community College - staff",,,,,
"Overbrook Public Library","Highland Community College - student",,,,,
"Overbrook Public Library","Highland Community College - student outreach",,,,,
"Overbrook Public Library","Louisburg - Hoopla access",,,,,
"Overbrook Public Library","Minor - (age 00-11)",,,,,
"Overbrook Public Library","Minor - (age 00-17)",191,4,,,Yes
"Overbrook Public Library","Minor - (age 12)",,,,,
"Overbrook Public Library","Minor - (age 13-17)",,,,,
"Overbrook Public Library","Minor - digital only (age 00-11)",,,,,
"Overbrook Public Library","Minor - digital only (age 00-17)",,,,,
"Overbrook Public Library","Minor - digital only (age 12)",,,,,
"Overbrook Public Library","Minor - digital only (ages 13-17)",,,,,
"Overbrook Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Overbrook Public Library","Minor - other (age 00-17)",24,,,,Yes
"Overbrook Public Library","Minor - temporary",,,,,
"Overbrook Public Library","Organization - book club",1,,,,Yes
"Overbrook Public Library","Organization - interlibrary loan (exempt-ILL)",14,,,,Yes
"Overbrook Public Library","Staff - in house use (exempt)",,,,,
"Overbrook Public Library","Staff - library associate (exempt)",1,,,,Yes
"Overbrook Public Library","Staff - Permissions template",,,,,
"Overbrook Public Library","Staff - SIP user",,,,,
"Overbrook Public Library","Staff - statistical purposes",,,,,
"Overbrook Public Library","Staff - system login (exempt)",23,,,,
"Overbrook Public Library","Student (exempt)",,,,,
"Overbrook Public Library","Student (public library)",,,,,
"Overbrook Public Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Overbrook Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Paola Free Library",Adult,1922,30,20,8,Yes
"Paola Free Library","Adult - college student",,,,,
"Paola Free Library","Adult - digital only",,,,,
"Paola Free Library","Adult - homebound",22,2,,,Yes
"Paola Free Library","Adult - library associate",10,,,,Yes
"Paola Free Library","Adult - library board of trustees",,,,,
"Paola Free Library","Adult - other",1735,37,12,2,Yes
"Paola Free Library","Adult - self registered during the pandemic",,,,,
"Paola Free Library","Adult - temporary",,,,,
"Paola Free Library","Highland Community College - community member",,,,,
"Paola Free Library","Highland Community College - faculty",,,,,
"Paola Free Library","Highland Community College - faculty outreach",,,,,
"Paola Free Library","Highland Community College - staff",,,,,
"Paola Free Library","Highland Community College - student",,,,,
"Paola Free Library","Highland Community College - student outreach",,,,,
"Paola Free Library","Louisburg - Hoopla access",2,,,,
"Paola Free Library","Minor - (age 00-11)",,,,,
"Paola Free Library","Minor - (age 00-17)",676,6,5,3,Yes
"Paola Free Library","Minor - (age 12)",,,,,
"Paola Free Library","Minor - (age 13-17)",,,,,
"Paola Free Library","Minor - digital only (age 00-11)",,,,,
"Paola Free Library","Minor - digital only (age 00-17)",,,,,
"Paola Free Library","Minor - digital only (age 12)",,,,,
"Paola Free Library","Minor - digital only (ages 13-17)",,,,,
"Paola Free Library","Minor - Osawatomie student (age 00-17)",1,,,,
"Paola Free Library","Minor - other (age 00-17)",535,5,3,1,Yes
"Paola Free Library","Minor - temporary",,,,,
"Paola Free Library","Organization - book club",9,,,,Yes
"Paola Free Library","Organization - interlibrary loan (exempt-ILL)",472,,,,Yes
"Paola Free Library","Staff - in house use (exempt)",15,,,,Yes
"Paola Free Library","Staff - library associate (exempt)",,,,,
"Paola Free Library","Staff - Permissions template",,,,,
"Paola Free Library","Staff - SIP user",,,,,
"Paola Free Library","Staff - statistical purposes",1,,,,Yes
"Paola Free Library","Staff - system login (exempt)",24,,,,
"Paola Free Library","Student (exempt)",,,,,
"Paola Free Library","Student (public library)",47,,,,Yes
"Paola Free Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Paola Free Library","Teacher/Faculty/Administrator (public library)",40,1,1,8,Yes
"Perry-Lecompton Community Library",Adult,176,3,2,,Yes
"Perry-Lecompton Community Library","Adult - college student",,,,,
"Perry-Lecompton Community Library","Adult - digital only",,,,,
"Perry-Lecompton Community Library","Adult - homebound",,,,,
"Perry-Lecompton Community Library","Adult - library associate",,,,,
"Perry-Lecompton Community Library","Adult - library board of trustees",,,,,
"Perry-Lecompton Community Library","Adult - other",1,,,,Yes
"Perry-Lecompton Community Library","Adult - self registered during the pandemic",,,,,
"Perry-Lecompton Community Library","Adult - temporary",,,,,
"Perry-Lecompton Community Library","Highland Community College - community member",,,,,
"Perry-Lecompton Community Library","Highland Community College - faculty",,,,,
"Perry-Lecompton Community Library","Highland Community College - faculty outreach",,,,,
"Perry-Lecompton Community Library","Highland Community College - staff",,,,,
"Perry-Lecompton Community Library","Highland Community College - student",,,,,
"Perry-Lecompton Community Library","Highland Community College - student outreach",,,,,
"Perry-Lecompton Community Library","Louisburg - Hoopla access",,,,,
"Perry-Lecompton Community Library","Minor - (age 00-11)",,,,,
"Perry-Lecompton Community Library","Minor - (age 00-17)",86,,,,Yes
"Perry-Lecompton Community Library","Minor - (age 12)",,,,,
"Perry-Lecompton Community Library","Minor - (age 13-17)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (age 00-11)",,,,,
"Perry-Lecompton Community Library","Minor - digital only (age 00-17)",,,,,
